trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.995}",20,0,-29.57709117729136,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.99}",35,0,-262.95254314636463,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.2, 'e': 0.985}",25,2,-64.78365376308673,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.2, 'e': 0.98}",35,1,-236.12765171082086,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 4}",1
5,False,"{'a': 0.2, 'e': 0.975}",25,0,-136.94143135699443,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.2, 'e': 0.97}",30,0,-153.0294622751485,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.965}",20,0,-165.35770347999062,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.96}",30,0,-147.4796416951843,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.955}",25,0,-73.92513639410846,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.95}",20,0,-112.92665990817925,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.945}",20,0,-120.16597842317806,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.94}",20,0,-146.6249767808352,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.2, 'e': 0.9349999999999999}",30,0,-106.70276737384746,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.9299999999999999}",20,0,-123.80395577945288,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.9249999999999999}",20,0,-148.78010514222203,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9199999999999999}",25,12,-79.42980258647118,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.2, 'e': 0.9149999999999999}",20,0,-104.51564747810531,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.9099999999999999}",25,0,-25.971526968857408,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.9049999999999999}",20,0,-49.04451458516814,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-74.05178983393886,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8949999999999999}",30,18,-7.97203437996209,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.8899999999999999}",25,0,-35.394897635575695,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.8849999999999999}",20,0,-73.41190704732635,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.8799999999999999}",30,8,-44.26374010531288,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.8749999999999999}",25,0,-165.84368645527104,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.8699999999999999}",20,0,-122.5155898285891,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.8649999999999999}",25,0,-28.461836950531552,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.8599999999999999}",25,7,-74.85841842497716,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.2, 'e': 0.8549999999999999}",20,0,-12.894730575548834,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
30,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,11,-29.626227099424476,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.8449999999999999}",25,0,-236.93634018426923,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
32,False,"{'a': 0.2, 'e': 0.8399999999999999}",25,0,-94.3576606788411,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.8349999999999999}",25,1,-87.34761358282162,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.8299999999999998}",25,0,-233.10583277656374,"{0: 14, 1: 0, 2: 5, 3: 2, 4: 4}",0
35,False,"{'a': 0.2, 'e': 0.8249999999999998}",25,1,-143.7373880371327,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 2}",1
36,False,"{'a': 0.2, 'e': 0.8199999999999998}",25,11,-6.036358625920504,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.8149999999999998}",25,0,-73.43377840740739,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.8099999999999998}",20,0,-66.8063384209474,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
39,False,"{'a': 0.2, 'e': 0.8049999999999998}",20,0,-68.60543721618306,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.2, 'e': 0.7999999999999998}",25,0,-186.46928378337435,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
41,False,"{'a': 0.2, 'e': 0.7949999999999998}",25,0,-129.3877994100275,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.7899999999999998}",25,0,-78.24082931360749,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.7849999999999998}",20,2,-49.83923067253873,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.7799999999999998}",20,2,-61.89461050650076,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.7749999999999998}",25,0,-107.56099565712896,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.2, 'e': 0.7699999999999998}",25,0,-143.76035682992483,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.7649999999999998}",20,0,-77.01007824614278,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.7599999999999998}",20,0,-18.449643206973246,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.7549999999999998}",35,17,-30.85466964139627,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.2, 'e': 0.7499999999999998}",30,0,-224.57859689645923,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
51,False,"{'a': 0.2, 'e': 0.7449999999999998}",25,12,-33.127521497141565,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.2, 'e': 0.7399999999999998}",25,8,-19.828720561637347,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.7349999999999998}",20,0,-69.64325910427615,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
54,False,"{'a': 0.2, 'e': 0.7299999999999998}",25,0,-169.72145663426696,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",1
55,False,"{'a': 0.2, 'e': 0.7249999999999998}",25,0,-33.5308657977857,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.7199999999999998}",30,0,-108.92725212458836,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.7149999999999997}",25,0,12.972284469673612,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.2, 'e': 0.7099999999999997}",25,0,-99.43460082354774,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.2, 'e': 0.7049999999999997}",20,0,-87.46948107089543,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.6999999999999997}",25,0,-48.03320401382703,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.6949999999999997}",20,7,-34.84793156550782,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.6899999999999997}",25,0,-95.2533021886107,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.2, 'e': 0.6849999999999997}",25,0,-118.3832007444723,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.6799999999999997}",20,0,-41.72996296601411,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.6749999999999997}",20,11,-6.61842706274337,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.6699999999999997}",20,0,9.26327267604294,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.6649999999999997}",20,3,19.985102945790096,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.6599999999999997}",20,1,-94.31573958072654,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
69,False,"{'a': 0.2, 'e': 0.6549999999999997}",20,9,-25.73026538810293,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,3,6.869825785933719,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.6449999999999997}",20,3,-82.67953848010283,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.2, 'e': 0.6399999999999997}",25,0,-123.90368384108875,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
73,False,"{'a': 0.2, 'e': 0.6349999999999997}",25,0,-47.558538580432575,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.6299999999999997}",20,10,-3.968360981534072,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.6249999999999997}",25,0,-143.20474755475558,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
76,False,"{'a': 0.2, 'e': 0.6199999999999997}",20,9,10.206706224893596,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.6149999999999997}",20,11,-59.75425278417151,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
