trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-117.92153672654266,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-206.1373486789929,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-122.72385706413367,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-143.11366594434074,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-41.40530355608984,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-189.15206329812136,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-107.05848339539004,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-69.83745439799088,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-192.34069358560015,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-106.5666222177567,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-26.910886744162024,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-87.96243442977473,"{0: 22, 1: 6, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-152.571467960415,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-137.06389577368088,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,-42.667817183784,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-248.9925309689873,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-85.41322457432909,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,15,9.52943507288543,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-132.9614343143333,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-66.60524043741057,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-247.78119128605468,"{0: 15, 1: 2, 2: 6, 3: 4, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-93.89115637345186,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-77.3038160359535,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-132.73852259216187,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-89.63064653611798,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-172.0795364694078,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-138.3671392027573,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-62.703644335451685,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-84.34462750757673,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-81.8574058239935,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
